business_size,business_stage,industry,revenue_trend,marketing_spend_pct,acquisition_trend,pricing_strategy,capacity_utilisation,workforce_size,attrition_rate_bucket,skill_gap_level,salary_competitiveness,workload_level,risk_tolerance,budget_flexibility,hiring_feasibility,planned_marketing_change,planned_retention_invest,hiring_plan,growth_target_hit,high_attrition_risk,expected_attrition_cost
51-200,Mature,Tech,Declining,10-20,Increasing,Premium,Optimal,126,5-10,Fully covered,Market-aligned,High,Medium,Very limited,Moderate,0,+3,Freeze,1,0,81713.28
51-200,Scaling,Finance,Flat,>20,Declining,Market-average,Over-stretched,138,10-20,Fully covered,Below market,Sustainable,High,Moderate,Moderate,+20,+5,Freeze,1,1,108002.29
11-50,Growth,Other,Growing_slowly,<5,Stable,Market-average,Under-utilised,36,<5,Some skill gaps,Below market,High,Low,Very limited,Difficult,+5,0,Freeze,0,1,28512.64
51-200,Scaling,Services,Flat,<5,Stable,Premium,Over-stretched,164,>20,Some skill gaps,Below market,Sustainable,High,Moderate,Difficult,+20,+3,Replace only,1,1,145339.57
51-200,Mature,Services,Declining,10-20,Increasing,Low-cost,Over-stretched,107,<5,Fully covered,Above market,High,High,Moderate,Moderate,+10,+5,Replace only,0,0,61026.22
11-50,Growth,Services,Flat,10-20,Declining,Low-cost,Optimal,38,>20,Fully covered,Below market,Sustainable,Medium,Flexible,Easy,0,+10,Freeze,0,1,26911.68
11-50,Scaling,Tech,Flat,5-10,Stable,Market-average,Optimal,29,<5,Some skill gaps,Above market,High,High,Moderate,Moderate,0,+3,Replace only,1,0,22717.28
51-200,Mature,Tech,Growing_fast,5-10,Increasing,Market-average,Under-utilised,148,5-10,Significant gaps,Below market,Sustainable,Low,Flexible,Moderate,0,0,Replace only,0,0,98866.06
1-10,Early-stage,Services,Flat,10-20,Increasing,Market-average,Under-utilised,9,5-10,Fully covered,Above market,High,Medium,Moderate,Moderate,+5,+10,Replace only,0,1,5338.92
1-10,Mature,Services,Declining,5-10,Increasing,Premium,Optimal,8,5-10,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Difficult,+20,+3,Net new hires,1,1,3912.49
1-10,Early-stage,Services,Growing_slowly,<5,Increasing,Market-average,Optimal,5,>20,Some skill gaps,Market-aligned,High,Medium,Moderate,Difficult,0,+3,Replace only,1,1,4446.11
51-200,Scaling,Finance,Growing_fast,<5,Stable,Premium,Over-stretched,132,5-10,Fully covered,Market-aligned,Sustainable,Medium,Moderate,Difficult,+10,0,Replace only,1,0,52689.03
51-200,Scaling,Tech,Growing_slowly,5-10,Stable,Low-cost,Optimal,105,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Moderate,0,+5,Freeze,1,0,48627.5
51-200,Scaling,Tech,Growing_fast,>20,Increasing,Low-cost,Under-utilised,128,>20,Fully covered,Market-aligned,High,Medium,Moderate,Moderate,+10,+3,Net new hires,1,1,106973.58
51-200,Growth,Tech,Growing_fast,5-10,Increasing,Low-cost,Optimal,93,<5,Fully covered,Below market,Sustainable,Low,Moderate,Moderate,0,+10,Replace only,0,0,44445.49
11-50,Scaling,Tech,Growing_slowly,5-10,Increasing,Low-cost,Over-stretched,36,<5,Fully covered,Above market,Unsustainable,Medium,Very limited,Difficult,+5,+3,Freeze,1,1,19407.49
11-50,Early-stage,Retail,Growing_fast,>20,Increasing,Market-average,Optimal,33,<5,Fully covered,Market-aligned,High,Low,Very limited,Moderate,+5,0,Freeze,0,0,16981.22
1-10,Early-stage,Finance,Declining,5-10,Increasing,Premium,Optimal,7,5-10,Some skill gaps,Below market,Sustainable,Medium,Very limited,Easy,0,+5,Freeze,1,1,3769.88
1-10,Growth,Other,Growing_fast,5-10,Declining,Premium,Under-utilised,8,>20,Some skill gaps,Market-aligned,Unsustainable,Low,Very limited,Easy,+20,0,Replace only,1,1,8064.52
51-200,Growth,Retail,Growing_fast,<5,Stable,Market-average,Over-stretched,119,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Difficult,+10,0,Freeze,1,0,78319.57
11-50,Growth,Services,Growing_fast,10-20,Increasing,Low-cost,Optimal,33,10-20,Some skill gaps,Above market,High,High,Moderate,Moderate,0,+10,Net new hires,1,1,24859.75
11-50,Early-stage,Tech,Growing_slowly,10-20,Stable,Premium,Optimal,38,5-10,Fully covered,Market-aligned,Sustainable,High,Moderate,Difficult,0,+10,Replace only,0,1,13313.15
51-200,Mature,Services,Growing_slowly,10-20,Declining,Market-average,Optimal,154,<5,Significant gaps,Market-aligned,High,Medium,Very limited,Moderate,0,+5,Net new hires,1,1,103654.31
51-200,Growth,Services,Flat,5-10,Stable,Market-average,Optimal,124,10-20,Significant gaps,Market-aligned,High,Low,Moderate,Moderate,0,0,Replace only,1,1,115325.88
11-50,Growth,Other,Growing_slowly,5-10,Stable,Market-average,Optimal,25,10-20,Fully covered,Below market,Sustainable,Medium,Very limited,Difficult,0,+5,Replace only,0,1,18153.96
11-50,Growth,Services,Flat,<5,Increasing,Low-cost,Under-utilised,26,5-10,Some skill gaps,Market-aligned,High,Medium,Very limited,Difficult,0,+3,Net new hires,1,1,16453.21
11-50,Early-stage,Tech,Growing_slowly,>20,Increasing,Market-average,Under-utilised,35,<5,Some skill gaps,Market-aligned,Sustainable,Low,Flexible,Easy,+10,+3,Freeze,1,0,20236.53
1-10,Scaling,Tech,Growing_slowly,<5,Declining,Premium,Under-utilised,9,<5,Some skill gaps,Below market,High,High,Moderate,Easy,+20,+3,Net new hires,1,0,5137.51
11-50,Growth,Tech,Flat,10-20,Stable,Market-average,Optimal,35,10-20,Fully covered,Market-aligned,Sustainable,Medium,Very limited,Moderate,0,+3,Freeze,0,1,16374.67
1-10,Early-stage,Other,Flat,10-20,Declining,Market-average,Over-stretched,8,5-10,Fully covered,Below market,Sustainable,Medium,Very limited,Easy,+10,0,Replace only,0,1,3496.85
11-50,Mature,Tech,Flat,<5,Increasing,Premium,Under-utilised,34,5-10,Significant gaps,Below market,Sustainable,Medium,Moderate,Moderate,0,+3,Net new hires,1,1,22915.35
200+,Scaling,Tech,Growing_slowly,5-10,Declining,Market-average,Over-stretched,514,<5,Some skill gaps,Below market,High,High,Moderate,Difficult,+5,0,Freeze,0,1,430663.94
1-10,Scaling,Tech,Growing_slowly,<5,Stable,Market-average,Over-stretched,8,10-20,Some skill gaps,Below market,Unsustainable,Medium,Very limited,Easy,0,+5,Freeze,1,1,6816.87
1-10,Mature,Finance,Growing_slowly,5-10,Stable,Market-average,Under-utilised,6,<5,Significant gaps,Market-aligned,Unsustainable,Low,Moderate,Moderate,0,+5,Replace only,1,1,4707.67
11-50,Mature,Services,Declining,>20,Stable,Premium,Under-utilised,37,10-20,Fully covered,Above market,High,Medium,Moderate,Moderate,0,0,Replace only,0,0,21404.68
11-50,Growth,Retail,Growing_fast,5-10,Stable,Market-average,Optimal,26,10-20,Significant gaps,Below market,High,High,Moderate,Moderate,+10,+10,Replace only,1,0,19912.43
51-200,Scaling,Services,Growing_slowly,>20,Increasing,Market-average,Under-utilised,128,<5,Some skill gaps,Above market,Unsustainable,Medium,Moderate,Moderate,+5,+5,Replace only,1,1,77256.29
11-50,Scaling,Tech,Declining,<5,Stable,Low-cost,Over-stretched,33,5-10,Some skill gaps,Market-aligned,High,Low,Flexible,Moderate,+10,+5,Freeze,1,1,27301.82
51-200,Growth,Other,Flat,5-10,Declining,Premium,Optimal,122,5-10,Fully covered,Below market,Sustainable,Medium,Very limited,Difficult,-10,+5,Replace only,1,1,61271.8
51-200,Early-stage,Tech,Growing_slowly,>20,Stable,Premium,Optimal,125,5-10,Fully covered,Below market,High,High,Very limited,Difficult,+5,0,Replace only,1,0,87985.41
11-50,Early-stage,Tech,Flat,>20,Stable,Market-average,Optimal,36,>20,Fully covered,Below market,Sustainable,Low,Very limited,Moderate,0,+5,Net new hires,0,1,22670.67
51-200,Scaling,Retail,Declining,5-10,Stable,Premium,Optimal,145,5-10,Fully covered,Market-aligned,High,Medium,Very limited,Difficult,0,0,Net new hires,1,1,98775.77
1-10,Scaling,Tech,Flat,10-20,Increasing,Market-average,Over-stretched,8,<5,Fully covered,Market-aligned,High,Medium,Moderate,Easy,0,+10,Net new hires,1,0,6585.06
1-10,Scaling,Tech,Declining,>20,Stable,Premium,Optimal,8,5-10,Fully covered,Market-aligned,Sustainable,Medium,Very limited,Moderate,0,+3,Freeze,1,0,6257.88
1-10,Growth,Finance,Declining,10-20,Increasing,Low-cost,Optimal,9,10-20,Some skill gaps,Below market,High,Low,Flexible,Difficult,+10,+5,Freeze,1,0,7075.03
51-200,Early-stage,Services,Flat,10-20,Declining,Low-cost,Optimal,154,5-10,Significant gaps,Below market,Sustainable,Low,Flexible,Moderate,+5,0,Replace only,0,1,114526.55
11-50,Growth,Tech,Growing_fast,<5,Increasing,Premium,Optimal,34,10-20,Fully covered,Market-aligned,Unsustainable,Medium,Moderate,Difficult,+5,0,Replace only,1,1,30793.87
1-10,Growth,Services,Growing_slowly,<5,Declining,Market-average,Over-stretched,7,<5,Fully covered,Below market,Unsustainable,Low,Moderate,Moderate,-10,0,Replace only,1,1,6561.27
11-50,Mature,Finance,Flat,10-20,Stable,Market-average,Optimal,32,<5,Some skill gaps,Market-aligned,High,Medium,Moderate,Difficult,0,0,Net new hires,1,1,23130.6
1-10,Mature,Tech,Growing_slowly,5-10,Stable,Market-average,Over-stretched,8,<5,Some skill gaps,Market-aligned,High,Medium,Moderate,Easy,+5,+3,Replace only,0,1,6231.11
51-200,Mature,Tech,Growing_slowly,<5,Stable,Market-average,Over-stretched,116,>20,Some skill gaps,Market-aligned,Sustainable,Low,Moderate,Easy,-10,0,Replace only,0,1,88345.33
11-50,Mature,Retail,Declining,5-10,Stable,Market-average,Optimal,25,10-20,Significant gaps,Below market,High,Medium,Very limited,Moderate,0,+10,Replace only,0,1,19059.75
11-50,Mature,Retail,Flat,5-10,Increasing,Market-average,Optimal,40,5-10,Fully covered,Market-aligned,Unsustainable,High,Flexible,Difficult,-10,+5,Replace only,0,1,33865.67
11-50,Growth,Other,Flat,5-10,Stable,Market-average,Optimal,39,5-10,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Easy,+20,+3,Freeze,0,1,21666.55
51-200,Early-stage,Services,Growing_slowly,5-10,Increasing,Low-cost,Under-utilised,140,>20,Significant gaps,Market-aligned,Sustainable,Low,Moderate,Moderate,0,+5,Net new hires,1,0,104029.47
11-50,Early-stage,Tech,Growing_slowly,5-10,Increasing,Low-cost,Over-stretched,42,>20,Some skill gaps,Market-aligned,Sustainable,Low,Moderate,Difficult,-10,+3,Replace only,1,1,24431.73
1-10,Growth,Services,Flat,<5,Stable,Market-average,Optimal,8,5-10,Some skill gaps,Market-aligned,High,Medium,Very limited,Moderate,+5,+10,Replace only,0,1,4444.52
1-10,Growth,Retail,Growing_slowly,>20,Increasing,Market-average,Over-stretched,8,10-20,Significant gaps,Below market,High,Medium,Flexible,Moderate,+10,+5,Freeze,0,1,6795.06
200+,Early-stage,Tech,Growing_fast,10-20,Stable,Market-average,Optimal,517,>20,Fully covered,Market-aligned,Sustainable,High,Moderate,Easy,0,+5,Freeze,1,1,335577.12
200+,Mature,Retail,Flat,<5,Stable,Market-average,Under-utilised,367,5-10,Fully covered,Market-aligned,Sustainable,Medium,Flexible,Difficult,0,0,Freeze,1,1,260153.73
51-200,Early-stage,Tech,Growing_slowly,5-10,Stable,Market-average,Optimal,113,5-10,Fully covered,Market-aligned,High,Medium,Flexible,Difficult,+20,+5,Freeze,1,0,79121.24
11-50,Mature,Finance,Growing_slowly,5-10,Increasing,Low-cost,Under-utilised,34,5-10,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Moderate,+10,+5,Replace only,0,0,17617.68
200+,Scaling,Finance,Growing_slowly,10-20,Declining,Market-average,Under-utilised,512,5-10,Significant gaps,Above market,Sustainable,Medium,Flexible,Easy,+5,0,Freeze,0,1,243994.33
51-200,Scaling,Services,Growing_slowly,10-20,Stable,Low-cost,Optimal,110,10-20,Fully covered,Above market,Sustainable,Low,Flexible,Moderate,0,0,Replace only,1,1,73718.48
51-200,Scaling,Other,Growing_slowly,10-20,Increasing,Market-average,Under-utilised,107,5-10,Some skill gaps,Market-aligned,High,Medium,Very limited,Moderate,0,+5,Replace only,1,0,74569.96
11-50,Growth,Other,Flat,10-20,Stable,Low-cost,Over-stretched,32,<5,Some skill gaps,Below market,Sustainable,Low,Moderate,Difficult,+10,+10,Replace only,1,0,9451.43
11-50,Scaling,Tech,Flat,<5,Stable,Market-average,Optimal,37,5-10,Fully covered,Above market,Sustainable,Medium,Moderate,Difficult,+5,+3,Freeze,1,0,21512.98
1-10,Early-stage,Services,Growing_fast,5-10,Stable,Market-average,Optimal,7,10-20,Some skill gaps,Market-aligned,High,Medium,Moderate,Difficult,0,0,Replace only,1,0,5564.26
200+,Mature,Retail,Flat,<5,Increasing,Premium,Optimal,352,<5,Fully covered,Above market,Sustainable,High,Moderate,Moderate,-10,+3,Freeze,0,0,86333.68
11-50,Growth,Tech,Growing_fast,5-10,Stable,Market-average,Under-utilised,28,5-10,Significant gaps,Market-aligned,Unsustainable,Low,Moderate,Easy,0,0,Replace only,0,1,25246.03
1-10,Growth,Services,Flat,5-10,Stable,Premium,Optimal,8,<5,Some skill gaps,Above market,Unsustainable,High,Flexible,Difficult,+10,+5,Replace only,0,1,5836.47
11-50,Scaling,Tech,Growing_slowly,10-20,Increasing,Market-average,Optimal,35,10-20,Fully covered,Below market,High,Medium,Moderate,Moderate,+5,0,Replace only,0,1,22546.29
11-50,Scaling,Other,Growing_slowly,<5,Increasing,Market-average,Optimal,35,<5,Some skill gaps,Market-aligned,High,Medium,Moderate,Easy,0,0,Replace only,1,0,29394.41
1-10,Growth,Services,Flat,10-20,Declining,Low-cost,Optimal,7,<5,Some skill gaps,Market-aligned,Sustainable,Medium,Moderate,Difficult,+5,+3,Replace only,0,0,3920.19
200+,Scaling,Finance,Growing_fast,5-10,Stable,Low-cost,Optimal,503,10-20,Fully covered,Below market,High,High,Flexible,Easy,+10,+5,Replace only,1,1,348113.58
51-200,Early-stage,Services,Flat,5-10,Declining,Market-average,Optimal,126,<5,Fully covered,Below market,Sustainable,Medium,Moderate,Moderate,+5,+10,Freeze,1,0,52410.69
51-200,Scaling,Tech,Growing_slowly,10-20,Increasing,Low-cost,Optimal,126,10-20,Some skill gaps,Below market,High,Low,Moderate,Moderate,0,+3,Replace only,0,0,99871.19
11-50,Growth,Other,Growing_slowly,<5,Stable,Market-average,Optimal,36,5-10,Some skill gaps,Below market,Sustainable,Medium,Moderate,Easy,+20,0,Net new hires,1,1,22431.68
51-200,Growth,Tech,Growing_fast,5-10,Stable,Market-average,Over-stretched,148,10-20,Some skill gaps,Above market,High,High,Moderate,Difficult,-10,0,Net new hires,0,1,121938.16
11-50,Early-stage,Tech,Growing_slowly,5-10,Stable,Market-average,Under-utilised,29,<5,Fully covered,Above market,Sustainable,Medium,Very limited,Moderate,+5,+5,Replace only,1,1,11276.15
51-200,Growth,Services,Growing_fast,10-20,Stable,Market-average,Optimal,112,<5,Some skill gaps,Above market,High,High,Flexible,Moderate,0,0,Replace only,1,1,64099.81
1-10,Growth,Retail,Growing_fast,<5,Declining,Market-average,Optimal,7,<5,Some skill gaps,Above market,Sustainable,High,Very limited,Difficult,+10,+5,Net new hires,1,1,3398.8
11-50,Growth,Services,Flat,>20,Increasing,Low-cost,Optimal,41,>20,Fully covered,Market-aligned,Sustainable,Medium,Very limited,Difficult,+5,+3,Replace only,0,0,23733.3
1-10,Early-stage,Tech,Growing_fast,>20,Stable,Market-average,Over-stretched,7,10-20,Fully covered,Above market,High,High,Flexible,Moderate,0,+3,Replace only,1,0,4777.35
11-50,Early-stage,Services,Growing_fast,10-20,Stable,Market-average,Over-stretched,30,5-10,Fully covered,Below market,High,Medium,Moderate,Moderate,+5,0,Replace only,1,1,26604.09
11-50,Growth,Tech,Flat,5-10,Increasing,Market-average,Over-stretched,34,<5,Some skill gaps,Below market,Unsustainable,Low,Moderate,Moderate,+5,+10,Net new hires,1,1,26809.29
1-10,Early-stage,Tech,Growing_slowly,10-20,Declining,Market-average,Optimal,8,<5,Fully covered,Above market,Sustainable,Medium,Moderate,Difficult,0,+5,Freeze,1,0,3221.23
1-10,Scaling,Services,Flat,<5,Declining,Premium,Optimal,9,<5,Significant gaps,Market-aligned,Sustainable,High,Very limited,Moderate,-10,+3,Replace only,1,0,4276.55
11-50,Mature,Tech,Growing_slowly,>20,Stable,Market-average,Under-utilised,33,<5,Fully covered,Market-aligned,High,Medium,Very limited,Moderate,0,+3,Replace only,0,0,22717.07
1-10,Growth,Tech,Declining,5-10,Increasing,Market-average,Over-stretched,7,>20,Some skill gaps,Market-aligned,Sustainable,Low,Flexible,Easy,+20,0,Replace only,0,0,3778.6
200+,Mature,Retail,Growing_slowly,<5,Declining,Low-cost,Optimal,388,<5,Fully covered,Market-aligned,Unsustainable,Medium,Very limited,Difficult,0,0,Freeze,0,1,247831.55
11-50,Early-stage,Finance,Flat,5-10,Increasing,Low-cost,Optimal,33,>20,Some skill gaps,Below market,Sustainable,Medium,Very limited,Difficult,+5,+5,Net new hires,0,1,26686.0
11-50,Early-stage,Tech,Growing_slowly,10-20,Stable,Market-average,Optimal,48,<5,Some skill gaps,Market-aligned,Unsustainable,Medium,Moderate,Moderate,0,+3,Freeze,1,0,35341.91
11-50,Scaling,Services,Declining,>20,Stable,Premium,Over-stretched,37,10-20,Some skill gaps,Market-aligned,High,Medium,Flexible,Moderate,+10,0,Replace only,0,1,32053.04
1-10,Scaling,Tech,Growing_slowly,5-10,Stable,Low-cost,Optimal,8,5-10,Significant gaps,Market-aligned,Sustainable,Medium,Moderate,Moderate,+5,+10,Net new hires,1,1,4297.61
200+,Scaling,Other,Growing_slowly,5-10,Declining,Market-average,Under-utilised,449,<5,Fully covered,Market-aligned,High,Medium,Very limited,Easy,+10,+3,Replace only,0,1,222045.37
11-50,Early-stage,Tech,Growing_slowly,10-20,Stable,Premium,Over-stretched,35,10-20,Fully covered,Market-aligned,High,Low,Moderate,Easy,+5,0,Replace only,0,0,25065.99
51-200,Scaling,Tech,Flat,10-20,Increasing,Market-average,Under-utilised,134,5-10,Fully covered,Market-aligned,High,High,Flexible,Difficult,+5,0,Replace only,0,0,68151.24
1-10,Growth,Services,Declining,10-20,Stable,Market-average,Over-stretched,8,>20,Some skill gaps,Market-aligned,Sustainable,Low,Moderate,Moderate,+20,0,Replace only,0,0,5113.92
11-50,Growth,Tech,Flat,5-10,Stable,Market-average,Optimal,36,10-20,Some skill gaps,Market-aligned,High,Medium,Flexible,Moderate,+10,+3,Replace only,0,1,29428.79
11-50,Early-stage,Tech,Growing_fast,10-20,Increasing,Market-average,Over-stretched,35,>20,Fully covered,Above market,High,High,Moderate,Difficult,+5,+10,Replace only,1,1,24146.41
200+,Mature,Tech,Flat,>20,Declining,Premium,Over-stretched,426,10-20,Some skill gaps,Market-aligned,High,Medium,Moderate,Easy,+5,0,Replace only,0,1,330575.98
11-50,Early-stage,Retail,Growing_slowly,<5,Stable,Low-cost,Optimal,37,<5,Fully covered,Above market,High,Medium,Flexible,Moderate,+5,0,Freeze,0,0,21075.59
11-50,Scaling,Retail,Declining,5-10,Stable,Market-average,Over-stretched,35,5-10,Significant gaps,Market-aligned,Unsustainable,Low,Moderate,Difficult,+5,0,Replace only,1,1,26448.57
11-50,Scaling,Retail,Growing_slowly,<5,Declining,Market-average,Under-utilised,46,10-20,Fully covered,Above market,High,Medium,Moderate,Difficult,+5,+3,Replace only,1,0,22610.75
11-50,Scaling,Finance,Flat,5-10,Increasing,Premium,Under-utilised,40,5-10,Significant gaps,Market-aligned,High,Medium,Very limited,Easy,+10,+5,Replace only,0,1,29646.87
